key=the   value=22687
key=_they   value=1
key=two-a   value=1
key=hys   value=1
key=rascal,   value=1
key=mercy,   value=2
key="'t   value=1
key=stable-lantern----   value=1
key=honest   value=18
key=met,"   value=1
key=grave   value=34
key=suit.   value=1
key=calling,   value=1
key=triumph   value=13
key=nance   value=1
key=welcome   value=26
key=welcome,   value=4
key=man:   value=4
key=hospitality   value=7
key=same:   value=2
key=sappy   value=1
key=branch   value=10
key=faith!"   value=1
key=meet."   value=1
key=delicious   value=21
key=approaching   value=7
key=claim,   value=2
key=nashe!"   value=1
key=sir,"   value=27
key=arrived?"   value=1
key=mercy:   value=1
key='em.   value=1
key=why,   value=22
key=newcomer's   value=1
key=rounder   value=1
key=incredulous   value=2
key=embrace   value=3
key=didst   value=3
key=john   value=58
key=fry   value=1
key=father's   value=14
key=drollery--upon   value=1
key=business,   value=26
key=quiney----but   value=1
key=sobered,   value=1
key=citizen's   value=1
key=wear   value=11
key=filling   value=15
key=frame,   value=2
key=steward   value=1
key=rebuilt   value=1
key=road,   value=20
key=parlour-window,   value=1
key=cropped   value=1
key=winter-kale   value=1
key=likewise   value=5
key=--is   value=1
key=mytton   value=1
key=acres   value=5
key=land   value=59
key=brewhouse.   value=1
key=proverb   value=3
key=buys   value=8
key=eggs   value=3
key=yours   value=5
key=dry   value=24
key=thespis,   value=1
key=vintage   value=1
key=geese,   value=2
key=trifles,   value=2
key=dancing   value=6
key=dust.   value=1
key=brave   value=19
key=it--hippocras   value=1
key=kickshaw   value=1
key=da   value=1
key=fog-pated   value=1
key=drip   value=3
key=dearth----   value=1
key=knitting   value=3
key=wheat   value=9
key=malt!   value=1
key=nine   value=13
key=unawares.   value=2
key=us.   value=27
key=grant   value=5
key=grown   value=22
key=dearth.   value=1
key=shillings   value=4
key="we   value=11
key=added,   value=2
key=lasted   value=2
key=businesslike   value=1
key=believing   value=5
key=yoke   value=3
key=ewes   value=1
key=bide   value=3
key="unpack,   value=1
key=wagoner's   value=1
key=cursed   value=3
key=anon.   value=1
key=man--mowers'   value=1
key=price   value=7
key=talkin'   value=2
key=labouring   value=1
key=baggage   value=1
key=wash   value=3
key=wound   value=22
key=groat   value=2
key=salving   value=1
key=hour   value=112
key=godless   value=1
key=eyed   value=8
key=warrant   value=7
key=dogs   value=2
key=kennels   value=1
key=no?   value=1
key=inside   value=36
key=lantern-light.   value=1
key=shivered   value=2
key=understand,"   value=1
key=sharp,   value=6
key="call   value=1
key=you--having   value=1
key=heel   value=9
key=dung-hill,   value=1
key=thought.   value=4
key=touches   value=6
key=patty   value=1
key=lavender   value=1
key=wickedness   value=4
key=riot   value=5
key=street   value=62
key=murderers'   value=1
key=pictures   value=14
key=youth   value=38
key=chepe.   value=1
key=witwold's   value=4
key=this--that   value=1
key=light   value=134
key=murmur   value=5
key=await   value=2
key=storeys   value=1
key=shadows   value=16
key=feeling   value=41
key=watching,   value=4
key=within--a   value=1
key=whispered   value=9
key=strings.   value=2
key=silent   value=37
key=stairs.   value=4
key=threshold   value=4
key=aloft,   value=4
key=jesu!   value=1
key=faint   value=25
key=disappear,   value=2
key=horror   value=8
key=shape   value=12
key=dim   value=10
key=stealthily,   value=1
key=woman's,   value=2
key=withal.   value=2
key=tetchy   value=1
key=house-door   value=1
key=studded   value=2
key=arm.   value=4
key=wapping   value=1
key=serendib,   value=1
key=swears   value=2
key=tale   value=7
key=walnut   value=3
key=oddity   value=1
key=cried   value=24
key=kittle   value=1
key=debate   value=2
key=glimpse   value=10
key=sat   value=59
key=dice   value=1
key=girl   value=11
key=shoulders,   value=11
key=gamesters   value=1
key=tambourine   value=4
key=petticoat,   value=1
key=habitual--of   value=1
key=furtively   value=1
key=sullen   value=6
key=climbed   value=9
key=factory   value=1
key=to--to----   value=2
key=need'st   value=1
key=degrees   value=8
key=vile,   value=1
key=delights   value=1
key=pageants   value=2
key=banquets   value=1
key=rest.   value=19
key=cheer,   value=3
key=glee   value=2
key=stones?   value=1
key=paved   value=2
key=enough--your   value=1
key=parish   value=17
key=mayor   value=6
key=purses:   value=1
key=flames   value=4
key=court   value=16
key=tragedy,   value=4
key=landing,   value=2
key=door-latch.   value=1
key=thine   value=4
key=tender   value=17
key=cheering   value=5
key=smiled   value=9
key=feast   value=5
key=speeches,   value=5
key=mermaid.   value=1
key=grace   value=9
key=discourse   value=4
key=kempe--some   value=1
key=literature:   value=2
key=they,   value=11
key=triumphed,   value=1
key=outwits   value=1
key=to-day.   value=11
key=jonson--an   value=1
key=accent,   value=2
key=author;   value=1
key=quotations   value=1
key=_ars   value=1
key=authors   value=8
key=remember)   value=1
key=dissociated....   value=1
key=age's   value=5
key=age.   value=15
key=vacuous   value=1
key=pipe   value=9
key=chin   value=7
key=orator   value=2
key=crease   value=1
key=rafters,   value=1
key=respond,   value=1
key=said)   value=3
key=play's   value=1
key=silence   value=20
key=heminge   value=1
key=sharply:   value=1
key=brush   value=3
key=hurt.   value=2
key=pain.   value=5
key=drop   value=14
key=noted   value=11
key=arise!   value=1
key=springing   value=4
key=woman,   value=29
key=unbuttoned;   value=1
key=yawned.   value=1
key=music!"   value=1
key=happy   value=23
key=rolled   value=9
key=ahoy!   value=1
key=gay   value=14
key=lack,   value=2
key=singing   value=23
key=service."   value=1
key=doorway,   value=3
key=slashed   value=1
key=youthfully   value=1
key=goes,"   value=1
key="be   value=1
key=dark-complexioned   value=1
key=supper-room   value=1
key=taller   value=5
key=bow.   value=2
key=herbert   value=7
key=rise   value=17
key='gentles,'"   value=1
key="a   value=23
key=carrion   value=1
key=lovingly   value=2
key=manners?"   value=1
key=beside   value=27
key=laughed   value=9
key=women   value=80
key=harm,"   value=1
key=scandal   value=1
key=demanded:   value=1
key=spokesman,   value=1
key=drum   value=7
key=flourish.   value=1
key=prends   value=2
key=ta   value=1
key=tapping   value=4
key=shoulder   value=17
key=burgundy,   value=1
key=tune   value=6
key=ces   value=3
key=nous   value=1
key=trippingly,   value=1
key=eh--eh?   value=1
key=swallow   value=3
key=concomitant,   value=1
key=only,   value=32
key=was--   value=1
key=ox   value=2
key=precedent   value=4
key=zooks!   value=1
key=liberal   value=4
key=late   value=64
key=eyebrow,   value=2
key=lisped   value=1
key=fling   value=3
key=piling   value=2
key=whirlwind   value=3
key="francisco,   value=1
key=patapatapan_--   value=1
key=impassive   value=2
key=dreamed   value=4
key=pipe.   value=1
key=hot   value=36
key=blinked   value=3
key=ludicrously   value=1
key=shivered,   value=1
key=clashing   value=2
key=burly   value=2
key=instruments   value=4
key=ã    value=1
key=peaceful   value=8
key=rush,   value=2
key=scarf   value=4
key=slowly,   value=14
key=circuit,   value=1
key=sleep.   value=3
key=spin,   value=1
key=rose   value=27
key=rapidly,   value=2
key=whorl   value=1
key=spell.   value=1
key=suddenly,   value=5
key=brushed   value=3
key=bravissimo!"   value=1
key=crust   value=6
key=guests   value=1
key=page's   value=3
key=wheeling   value=6
key=mock-elaborate   value=1
key=rest,   value=35
key=shakespeare;   value=1
key=charged   value=6
key=alas!   value=6
key=age   value=67
key=kiss   value=12
key=beamed,   value=1
key=forerunner.   value=1
key=fool's   value=1
key=spite   value=5
key=write   value=52
key=on't,   value=1
key=mirth.'   value=1
key="is   value=8
key=afore   value=2
key=swiftly.   value=1
key=courtiers   value=1
key=notion   value=16
key=pattern.   value=1
key=uneasily.   value=1
key=interrupted   value=3
key=bless   value=9
key=saucily   value=2
key=no,"   value=5
key=frolic,   value=1
key=conclude,   value=2
key=dancing-girl   value=1
key=hungry   value=4
key=munching   value=4
key=teacher,"   value=1
key=mimicked   value=1
key=achieve   value=6
key=plate,   value=1
key=you!"   value=1
key=shrill   value=2
key=fascinating,   value=3
key=armpit   value=2
key=snake   value=4
key=curving   value=1
key=rigid   value=5
key=overhead   value=12
key=piercing   value=3
key=limp   value=1
key=dawn.   value=3
key=maddened   value=1
key=better!   value=1
key=shuddering   value=2
key=say!--and   value=1
key=fresh   value=58
key=kill   value=11
key=ancient   value=28
key=guttering   value=1
key=deserted.   value=1
key=downstairs   value=4
key=sleepy   value=5
key=wine.   value=3
key=bodice   value=3
key=pasty.   value=1
key=sidesaddle-wise   value=1
key=searched   value=3
key=dawn,   value=2
key=hullo!"   value=3
key="faith,   value=1
key=may'st   value=1
key=departing   value=7
key=forgot----   value=1
key=bawled.   value=1
key=slightly;   value=2
key=breath,   value=10
key=feet.   value=6
key=shield,   value=1
key=hand.   value=9
key=hate   value=6
key=upsetting   value=1
key=totter   value=1
key=peal   value=3
key=knee;   value=3
key=unmoved   value=1
key=spring.   value=3
key=knife.   value=2
key=clutch   value=4
key=rang,   value=2
key=pinning   value=1
key=limp.   value=1
key=escape:   value=1
key=thud   value=5
key=bethought   value=5
key=entered   value=7
key=wall   value=28
key=angel   value=3
key=twittering   value=3
key=tablecloth,   value=1
key=coverlet   value=1
key=swiftly,   value=3
key=sheathing   value=1
key=crusts.   value=1
key=brawl?   value=1
key=vanish?--and   value=1
key=gone!"   value=1
key=slip,   value=3
key=piper   value=1
key=wildly   value=1
key=drunk,"   value=2
key=thee."   value=1
key=ways--go   value=1
key=madam!"   value=2
key=river;   value=7
key=gold   value=21
key=mist,   value=1
key=pulled   value=28
key=gleamed,   value=1
key=vapours,   value=1
key=stretching   value=11
key=doubt,"   value=1
key=quoted--   value=1
key=see;   value=1
key=will----   value=1
key=yarmouth   value=1
key=native   value=40
key=know.   value=2
key=solum_--those   value=1
key=me;   value=15
key=vile   value=4
key=tense;   value=1
key=will--the   value=1
key=bent   value=25
key=rafters:   value=1
key=laurel   value=2
key='em,   value=3
key=touched,   value=1
key=kit,   value=2
key=daphnis.   value=1
key=youngster,   value=6
key=poet,   value=15
key=englishman   value=4
key=i:   value=2
key=dear,   value=16
key=land,   value=25
key=saving.   value=1
key=bethink   value=1
key=last?   value=1
key=ay   value=2
key=never,   value=4
key=respected.   value=1
key=clench   value=1
key=splash   value=6
key=bobbed   value=1
key=fading   value=4
key=glorious   value=14
key=thrice   value=3
key=of?   value=1
key=ply   value=1
key=meanwhile,   value=5
key=touching   value=9
key=flower   value=10
key=drifted   value=3
key=farther   value=10
key=tide   value=20
key=story   value=25
key=it!   value=5
key=saturday   value=12
key=excuse   value=16
key=token   value=3
key=favourite   value=3
key=turn-to   value=1
key=mug,   value=1
key=_them_   value=1
key=mary   value=10
key=oliver,   value=2
key=hoveller,   value=2
key=nan   value=1
key=bit   value=38
key=health--and   value=2
key=eliza's   value=1
key=rebecca   value=3
key=everybody   value=10
key=gang,   value=1
key=cockling,   value=1
key=bawling   value=4
key=job   value=11
key=trip   value=11
key=clogs:   value=1
key=heads   value=25
key=a-top;   value=1
key=petticoats   value=1
key=boney   value=3
key=week-a-days,   value=1
key=wesleyan   value=1
key=sit   value=56
key=christians.   value=1
key=greatly   value=5
key=shop   value=2
key=worship,   value=2
key=fun   value=15
key='five   value=1
key=foundry   value=1
key=starting   value=16
key=lived   value=46
key=bald   value=7
key=it:   value=14
key=spent   value=23
key=west-of-england   value=1
key=seals.   value=1
key=preachers,   value=2
key=paul   value=3
key=covered   value=7
key=cornwall   value=9
key=he'd   value=20
key=prayer   value=6
key=hymn,   value=3
key=bottom   value=6
key=funny,   value=2
key=evenin'.   value=1
key=tossing   value=4
key=doctrine   value=6
key=wasted   value=7
key=soul   value=72
key=couldn't   value=28
key=custom--and   value=1
key=collared   value=3
key=s'pose   value=1
key=jumped   value=4
key=settling   value=6
key=man'll   value=1
key=smoothed   value=4
key=she,   value=16
key=pickles   value=1
key=later."   value=1
key=gadding   value=1
key=under-pocket   value=1
key=watch   value=25
key=amuse   value=3
key=nonsense   value=4
key=o'clock.   value=3
key=trematon,   value=1
key=hamoaze   value=5
key=coat-tails,   value=1
key=hay-pooks--staid   value=1
key=curtsey   value=2
key=spokeswoman;   value=1
key=dimmety   value=1
key=gold-rimmed   value=1
key=society   value=30
key=altogether.   value=3
key=hay   value=8
key=porch,   value=2
key="did   value=2
key=doubt?   value=1
key=mankind   value=5
key="of   value=3
key=didn't   value=24
key=footpath   value=2
key=preacher,   value=2
key=everyone's   value=2
key=aback   value=4
key=madam   value=2
key='ee--wouldn't   value=1
key=addressin'   value=1
key=here--all   value=1
key=views   value=12
key=owe   value=6
