key=of   value=2526
key=lavender!"   value=1
key=IV   value=3
key=shivering,   value=1
key=disappointed   value=2
key=wickedness   value=1
key=looked   value=33
key=amid   value=3
key=riot   value=1
key=taverns,   value=2
key=street   value=15
key=scuffle,   value=1
key=swords   value=2
key=murderers'   value=1
key=running.   value=1
key=pictures   value=1
key=courage.   value=1
key=demure   value=1
key=Chepe.   value=1
key=differed   value=2
key=this--that   value=1
key=door   value=55
key=doorways   value=2
key=buzz   value=2
key=murmur   value=1
key=tinkling   value=1
key=stringed   value=1
key=Others   value=2
key=From   value=17
key=lights   value=4
key=chinks   value=1
key=shutters   value=1
key=Once   value=10
key=beneath,   value=1
key=darker   value=2
key=disappear:   value=1
key=shadows,   value=1
key=lidded   value=1
key=windows,   value=4
key=Again,   value=2
key=bright   value=5
key=fête,   value=1
key=subdue   value=1
key=expectancy--as   value=1
key=pauses   value=1
key=soft   value=3
key=strings.   value=2
key=companions   value=1
key=fallen   value=12
key=Mother   value=3
key=overhung   value=1
key=main   value=17
key=Garden   value=4
key=narrow   value=9
key=halted   value=8
key=extinguish   value=1
key=lantern;   value=1
key=Aloft,   value=1
key=houses   value=6
key=glass.   value=1
key="Jesu!   value=1
key=help!"   value=1
key=strangling   value=1
key=sob.   value=1
key=disappear,   value=1
key=wrists   value=1
key=rigid,   value=1
key=sent   value=22
key=horror   value=4
key=crawling   value=2
key=hair   value=4
key=hands.   value=11
key=house-front.   value=1
key=within?"   value=1
key=demanded   value=7
key=ways!"   value=1
key=woman's,   value=1
key=hoarse   value=2
key=angry,   value=1
key=frightened   value=3
key=her.   value=10
key="Haven't   value=1
key=tetchy   value=1
key=waking   value=2
key=house-door   value=1
key=below:   value=1
key=closed   value=9
key=stout,   value=1
key=iron   value=4
key=nails.   value=2
key="Let   value=6
key=be,"   value=2
key=woman.   value=4
key=monsters   value=3
key=ship's   value=2
key=captain.   value=1
key=Isle   value=1
key=outlandish   value=1
key=coast,   value=1
key=swears   value=1
key="Swears,   value=1
key=she?   value=1
key=Christian;   value=1
key=tale   value=2
key=Gloucestershire,   value=1
key=walnut   value=1
key=juice.   value=1
key=Gloucester   value=1
key='em;   value=2
key=Queen,   value=9
key=Westminster,   value=1
key=oddity."   value=1
key=hesitated,   value=2
key=turned   value=46
key=heel   value=2
key=doorway.   value=3
key=dwarfs   value=1
key=kittle   value=1
key=cattle   value=1
key=told."   value=1
key=debate   value=1
key=linked   value=5
key=straight   value=13
key=staircase;   value=1
key=life   value=12
key=wide   value=7
key=black-avised   value=1
key=faces--casting   value=1
key=dice   value=1
key=chair,   value=1
key=low-bodiced,   value=1
key=gleaming   value=2
key=shoulders,   value=5
key=half   value=18
key=seem   value=8
key=sleep,   value=1
key=regard   value=4
key=lazy   value=1
key=tambourine   value=4
key=tied   value=8
key=petticoat,   value=1
key=careless   value=4
key=crook--you   value=1
key=habitual--of   value=1
key=jewelled   value=2
key=sharply,   value=1
key=furtively,   value=1
key=mounting   value=3
key=girl   value=3
key=lifted   value=18
key=Scornful   value=1
key=sullen   value=3
key=infinitely   value=1
key=weary,   value=1
key=wondered   value=1
key=climbed.   value=1
key="Yes,"   value=2
key=patron   value=1
key=mart   value=1
key=supply   value=5
key=immortal   value=1
key=poetry   value=1
key=lower,   value=2
key=master."   value=1
key=son:   value=1
key=lowest   value=2
key=(I   value=8
key=you)   value=1
key=sensual,   value=1
key=Marry,   value=1
key=defend   value=21
key=city   value=4
key=delights   value=1
key=greatness;   value=1
key=rich   value=3
key=pageants   value=1
key=water;   value=2
key=banquets   value=1
key=music;   value=1
key=citizens   value=2
key=Take   value=5
key=duller   value=1
key=cheer,   value=1
key=poorer   value=1
key=movement   value=1
key=cities   value=2
key=glee   value=1
key=swells   value=2
key=port   value=1
key=Is't   value=1
key=nurses   value=1
key=children   value=2
key=virtuous   value=2
key=folk   value=1
key=enough--your   value=1
key=Doth   value=3
key=parish   value=14
key=priest   value=5
key=miracle-play   value=1
key=intend   value=1
key=fountain   value=2
key=Mass   value=1
key=Thomas   value=3
key=Hell   value=1
key=flames   value=1
key=sores.   value=1
key=tragedy,   value=1
key=full   value=43
key=impugned   value=1
key=innocence----Will!   value=1
key=say!   value=5
key=moment!"   value=1
key=landing,   value=1
key=corridor   value=2
key=lamp   value=8
key=waited   value=6
key=father."   value=1
key=marvellously   value=1
key=himself.   value=7
key=shout,   value=2
key=cheering   value=2
key=glasses.   value=2
key=threshold,   value=4
key=smiled   value=3
key=bowing   value=4
key=homage   value=1
key=listened   value=6
key=songs,   value=1
key=poets,   value=1
key=reserved   value=3
key=Mermaid.   value=1
key=ladies   value=1
key=provided   value=7
key=entertainment;   value=1
key=company.   value=5
key=Heminge,   value=1
key=half-a-dozen   value=8
key=crew   value=19
key=perhaps--might   value=1
key=pardonably   value=1
key=months   value=3
key=to-night   value=4
key=triumphed,   value=1
key=appreciative   value=2
key=generation   value=2
key=scores   value=3
key=scored   value=1
key=yawned   value=1
key=dissembling,   value=1
key=Jonson--an   value=1
key=ungainly   value=1
key=pimply   value=1
key=pedantic   value=1
key=manner--proposed   value=1
key=comedy   value=3
key=interminable   value=1
key=quotations   value=1
key=Aristotle,   value=1
key=_Ars   value=1
key=Persius,   value=1
key=less   value=21
key=owed   value=4
key=acting....   value=1
key=case   value=30
key=esteem--yes,   value=1
key=worship--might   value=1
key=hardly   value=4
key=short,   value=9
key=speaking   value=9
key=modestly   value=1
key=ornament   value=2
key=lack   value=5
key=easily   value=22
key=age.   value=4
key=always   value=47
key=succumbs   value=1
key=slumber.   value=1
key=toes   value=2
key=pipe   value=5
key=tobacco.   value=1
key=Kempe,   value=2
key=elbows   value=2
key=board,   value=11
key=chin   value=6
key=palms,   value=1
key=orator   value=1
key=amused   value=3
key=mischief   value=4
key=crease   value=1
key=wrinkled   value=1
key=rafters,   value=2
key=gently   value=5
key=while.   value=5
key=turn   value=13
key=respond,   value=1
key=brief,   value=1
key=friend's   value=3
key=encomiums,   value=1
key=thoughts   value=4
key=play's   value=1
key=fill   value=6
key=demise   value=1
key=vanished   value=1
key=poured   value=7
key=Jack!"   value=1
key=sharply:   value=1
key=here--or   value=1
key=women--and   value=2
key=sentimentally,   value=1
key=flinched   value=1
key=blinked,   value=1
key=drop   value=7
key=fingered   value=1
key=base   value=5
key=glass,   value=1
key=arise!   value=1
key=toast,   value=1
key=other.   value=7
key=Meat   value=1
key=woman,   value=9
key=speech   value=5
key=brisk--all   value=1
key=smoked   value=3
key=pipes,   value=1
key=enjoying   value=5
key=strike   value=5
key=him;   value=7
key=filled   value=4
key=inspiration.   value=1
key=gripping   value=2
key=flask,   value=1
key=rolled   value=9
key=bawled   value=1
key=stairway--   value=1
key="Ahoy!   value=2
key=Below,   value=1
key="Ahoy,   value=1
key=summons.   value=1
key=is't   value=1
key=master?"   value=1
key=not----"   value=2
key=four   value=27
key=me."   value=4
key=least,   value=8
key="William   value=1
key=Herbert,   value=3
key=handsome   value=6
key=doorway,   value=3
key=guard:   value=2
key=orange-tawny   value=1
key=satin.   value=1
key=jaunty   value=1
key=youthfully   value=1
key=outside.   value=2
key=goes,"   value=1
key="may   value=2
key=page   value=16
key=follow?"   value=1
key=thine,   value=3
key=Will?"   value=3
key=white,   value=5
key=timid.   value=1
key="Good-evening,   value=2
key=taller   value=4
key=comprehended   value=2
key=feasters   value=1
key=bow.   value=4
key=Will!"   value=2
key=apprentice's   value=1
key=salutation   value=2
key=given,   value=6
key=marked   value=8
key=dark   value=16
key=rise   value=6
key=nod.   value=2
key='Will,'"   value=1
key=lightly.   value=1
key=replied,   value=2
key=cheek.   value=1
key=signifying   value=1
key=bait   value=1
key=Will,"   value=1
key=insisted   value=2
key=lovingly   value=1
key=cheats   value=1
key=love."   value=1
key=women.   value=1
key=beside   value=24
key=kissed."   value=1
key=examined   value=2
key=lad!   value=1
key=harm,"   value=1
key=chuckled   value=2
key=newcomers,   value=1
key=woman--the   value=1
key=room   value=16
key=spokesman,   value=1
key=drum   value=6
key=prends   value=2
key=tambourin;   value=1
key=Toi,   value=1
key=ta   value=1
key=flute,   value=1
key=Robin_,"   value=1
key="So?   value=1
key=gabble   value=1
key=this?"   value=5
key=Christmas,   value=1
key=Signore,   value=1
key=sing   value=3
key=jargon   value=1
key=emulate.   value=1
key=tune   value=2
key=Nous   value=1
key=dirons   value=1
key=gaîment!_   value=1
key=Goes   value=1
key=Signore?   value=1
key="Eh--eh?   value=1
key=protested.   value=2
key=inviting   value=2
key=us."   value=1
key=harm   value=9
key=on't?"   value=1
key=concomitant,   value=1
key=religions,   value=1
key=poorly   value=1
key=happ'd   value=1
key=chance--   value=1
key=ox   value=1
key=dance!   value=1
key=Sing   value=2
key=O,   value=2
key=precedent.   value=1
key=Zooks!   value=1
key=devout   value=1
key=bear   value=10
key=mind   value=35
key=form   value=19
key=mirth,   value=1
key=soon   value=35
key=late   value=5
key=squeamish.   value=1
key=tables   value=5
key=show   value=20
key=eyebrow,   value=1
key="Who   value=6
key=madman?"   value=1
key=laughed,   value=2
key=throwing   value=2
key=gigantic!"   value=1
key=lisped   value=1
key=wave   value=2
key=arms   value=13
key=pell-mell,   value=1
key=piling   value=1
key=clearing   value=4
key=ROOM.]   value=1
key=man!--   value=1
key=de   value=12
key=struck   value=11
key=her,   value=25
key=gaze   value=6
key=foreigner,   value=1
key=seared   value=1
key=began,   value=7
key=pair   value=16
key=cheeks   value=1
key=flageolet.   value=1
key=all,   value=9
key=marvellous   value=4
key=truly.   value=1
key=clashing   value=1
key=softly   value=6
key=music,   value=1
key=pipe's   value=1
key=falsetto   value=1
key=Au   value=1
key=la   value=3
key=Satan!_"   value=1
key=chairs   value=3
key=peaceful   value=3
key=onward   value=2
key=whirling   value=1
key=lazily   value=1
key=butterfly:   value=1
key=floating   value=2
key=circuit,   value=1
key=floor,   value=9
key=spin   value=2
key=sleep.   value=1
key=longer   value=12
key=clashed.   value=1
key=Balanced   value=1
key=uplifted   value=2
key=span   value=2
key=became   value=8
key=Still,   value=4
key=rose   value=10
key=shriller   value=1
key=revolved   value=1
key=rapidly,   value=1
key=mere   value=7
key=disc   value=1
key=rotating   value=1
key=roar   value=3
key=spell.   value=1
key=echoed   value=4
key=hand-clapping.   value=1
key=ceased   value=7
key=carelessly   value=2
key=table.   value=10
key=bravissimo!"   value=1
key=Shakespeare.   value=1
key=guests   value=1
key=steady   value=6
key=meal   value=3
key=ceremonies?"   value=1
key=page's   value=3
key=piping   value=2
key=father,"   value=1
key=quietly.   value=3
key=Wheeling   value=2
key=about,   value=2
key=wine-flask   value=2
key=mock-elaborate   value=1
key="That,   value=2
key=impaired   value=1
key=God)   value=1
key=fortune;   value=1
key=Shakespeare;   value=1
key=bend   value=7
key=sable,   value=1
key=fine   value=17
key=recognise:   value=1
key=but,   value=22
key=_Age   value=1
key=rage   value=2
key=buss   value=1
key=kiss   value=5
key=like."   value=1
key=send   value=6
key=delighted.   value=1
key=sort   value=12
key=is,"   value=2
key=Will."   value=2
key=sharply.   value=4
key=fool's   value=1
key=Lord."   value=1
key=fall   value=6
key=play,'   value=1
key='and   value=1
key=hero   value=1
key=clog   value=1
key=mirth.'"   value=1
key=maliciously,   value=1
key=Boar's   value=1
key=Head   value=1
key=seek   value=3
key=to-night."   value=5
key="Will,   value=1
key=made!"   value=1
key=vexation   value=1
key=died   value=8
key=swiftly.   value=1
key=awhile   value=5
key=tender   value=4
key="Her   value=1
key=gracious   value=1
key=notion   value=8
key=play,"   value=1
key=pattern.   value=1
key=indulgent,   value=1
key=disguise."   value=1
key=began.   value=4
key=pity   value=1
key=nervously.   value=1
key=Queen--God   value=1
key=thought"--here   value=1
key=frolic   value=1
key=no,"   value=2
key=Kempe:   value=1
key=seriously,   value=1
key=too,--that   value=1
key=business."   value=3
key=trifling   value=1
key=join."   value=1
key=capped   value=1
key=explanation.   value=3
key=who,   value=7
key=table,   value=4
key=eating   value=3
key=hungry   value=3
key=beast.   value=1
key=laid   value=22
key=knife,   value=5
key=munching   value=3
key=brows.   value=1
key="Wouldst   value=2
key=skill,   value=1
key=only."   value=1
key=foot!"   value=1
key=mimicked   value=1
key=horrible   value=4
key=hell!"   value=1
key=pushed   value=8
key=plate,   value=1
key=musicians.   value=1
key="Play,   value=1
key=commanded.   value=2
key=used   value=18
key=impetus.   value=1
key=shrill   value=1
key=note   value=9
key=points   value=6
key=slowly   value=4
key=fascinating,   value=1
key=freezing   value=1
key=curved   value=2
key=armpit   value=1
key=straightened   value=1
key=aloft,   value=2
key=bracelets,   value=1
key=coil   value=3
key=climb.   value=1
key=overhead   value=5
key=dipped   value=1
key=bosom.   value=1
key=shriek   value=1
key=out,   value=25
key=piercing   value=1
key=music.   value=1
key="Catch   value=1
key=her!   value=2
key=faints!"   value=1
key=limp   value=1
key=tore   value=2
key=maddened   value=1
key=this."   value=1
key=parted   value=4
key=shuddering   value=1
key="Go,   value=2
key=door!"   value=4
key=VI   value=3
key=fast   value=6
key=dare-devil   value=1
key=sparking   value=1
key=kill   value=8
key=mouse,   value=1
key=serpents   value=1
key=What's   value=4
key=wonder?"   value=1
key=candles,   value=2
key=banquet-hall   value=1
key=downstairs   value=3
key=hire   value=1
key=sleepy   value=1
key=watermen   value=2
key="Can   value=1
key=folded   value=2
key=pets   value=1
key=bodice   value=3
key=chosen   value=4
key=pasty.   value=1
key=Both   value=1
key=voraciously.   value=1
key=Francisco,   value=3
key=pipe-player,   value=1
key=distance   value=7
key=searched   value=3
